1 100
1264
100 40 120
200 2 9 0
200 1 37 0
200 2 18 0
200 1 35 0
300 2 2 0
200 1 21 5
200 2 6 0
200 1 1 0
200 2 37 0
200 1 20 0
400 1 79 68
200 2 15 0
200 1 27 0
400 1 82 71
200 2 11 0
200 1 29 5
200 2 6 0
200 1 27 0
200 2 23 0
200 1 29 9
200 2 26 10
300 1 33 12
200 2 22 0
200 1 3 0
300 2 19 27
200 1 15 0
200 2 25 0
400 1 61 57
200 1 1 0
200 2 9 7
200 1 33 0
200 2 30 0
200 1 13 0
200 2 19 0
200 1 0 0
200 2 19 0
200 1 31 0
200 2 21 0
200 1 36 5
200 2 15 0
200 1 29 0
200 2 35 0
200 1 30 7
200 2 10 0
200 1 24 0
300 2 28 0
200 1 19 0
200 2 10 0
200 1 17 0
200 2 34 0
400 1 82 80
200 1 11 0
300 2 17 5
200 1 24 0
200 2 0 0
200 1 14 0
300 2 27 21
200 1 17 5
200 2 29 0
200 1 21 0
400 1 82 70
200 2 21 0
200 1 24 11
200 2 8 5
200 1 16 0
200 2 9 5
200 1 33 0
200 2 25 0
200 1 36 0
200 2 31 0
200 1 7 0
200 2 2 0
200 1 17 0
200 2 8 0
200 1 34 0
200 2 11 0
300 1 13 0
200 2 36 0
300 1 21 7
200 2 3 0
300 1 7 0
200 2 36 0
300 1 29 0
200 2 18 0
200 1 5 0
200 2 32 0
200 1 18 10
200 2 32 5
200 1 18 0
200 2 17 0
200 1 21 0
200 2 11 12
300 1 16 18
200 2 18 0
300 1 7 0
200 2 5 5
200 1 28 0
200 2 16 0
200 1 22 0
200 2 8 0
200 1 20 5
400 1 79 76
200 2 2 0
300 1 7 0
200 2 30 0
200 1 3 6
200 2 4 0
200 1 26 0
200 2 10 0
200 1 9 0
200 2 37 0
200 1 3 0
400 1 85 91
200 2 3 0
200 1 26 0
200 2 25 0
200 1 10 0
200 2 13 5
200 1 30 0
200 2 21 0
400 1 94 98
200 1 33 6
200 2 9 6
400 1 91 95
200 1 12 0
200 2 36 0
200 1 4 5
400 1 92 93
200 2 32 5
200 1 33 0
400 1 89 91
200 2 20 6
200 1 34 0
200 2 12 0
200 1 29 0
200 2 18 5
200 1 31 5
200 2 8 0
200 1 27 0
200 2 18 0
200 1 24 0
200 2 34 0
200 1 31 0
200 2 2 0
200 1 16 5
200 2 7 0
300 1 24 0
200 2 15 0
200 1 0 0
200 2 28 0
200 1 4 0
200 2 29 0
300 1 30 36
300 2 16 0
200 1 36 0
200 2 33 5
300 1 19 0
200 2 23 0
300 1 36 5
200 2 30 0
200 1 2 0
200 2 33 14
200 1 5 10
200 2 19 5
300 1 19 0
200 2 19 0
200 1 35 0
300 2 14 19
300 1 25 6
200 2 27 0
200 1 11 0
200 2 12 0
200 1 9 0
400 1 64 70
200 2 14 0
200 1 11 0
200 2 28 0
200 1 27 0
200 2 10 0
200 1 2 0
400 1 73 79
200 2 20 0
200 1 10 0
200 2 19 5
200 1 35 5
200 2 12 0
200 1 7 10
200 2 8 17
400 1 61 69
200 1 20 0
300 2 30 0
200 1 1 5
200 2 5 0
200 1 30 0
200 2 13 11
200 1 35 0
200 2 2 0
200 1 34 0
200 2 8 0
200 1 9 0
200 2 32 0
200 1 8 0
200 2 14 0
200 1 27 0
200 2 14 6
200 1 20 0
200 2 25 0
300 1 28 0
200 2 14 0
200 1 6 0
200 2 21 0
300 1 39 0
200 2 12 5
200 1 34 5
200 2 33 0
400 1 75 82
200 1 1 0
200 2 37 0
200 1 35 0
200 2 29 0
200 1 32 0
200 2 32 0
200 1 7 0
300 2 16 0
200 1 35 5
300 2 39 0
200 1 13 0
200 2 26 0
200 1 16 0
200 2 28 5
200 1 5 5
400 1 87 94
200 2 5 0
200 1 5 0
300 2 22 0
200 1 34 0
200 2 29 6
200 1 37 0
300 2 19 0
200 1 35 0
400 1 98 95
200 2 15 0
200 1 31 5
400 1 96 98
200 2 2 5
200 1 25 0
200 2 33 0
200 1 0 5
300 2 34 16
200 1 22 0
200 2 4 0
200 1 29 0
200 2 31 0
200 1 10 0
300 2 38 11
200 1 29 0
200 2 27 0
200 1 29 0
200 2 9 0
200 1 21 5
300 2 34 0
200 1 18 0
200 2 7 0
200 1 23 0
300 2 37 0
200 1 34 0
200 2 31 0
200 1 33 0
400 2 99 99
200 2 5 5
200 1 1 0
200 2 27 0
300 1 9 13
400 1 94 95
200 2 33 0
200 1 13 0
200 2 26 16
300 1 18 0
200 2 28 0
200 1 16 9
200 2 30 0
200 1 0 0
200 2 23 16
200 1 2 0
200 2 29 0
300 1 17 0
200 2 34 0
200 1 16 0
400 2 88 80
200 2 16 0
200 1 14 0
200 2 2 0
200 1 25 0
200 2 33 0
400 2 94 89
200 1 5 0
300 2 10 0
200 1 17 5
200 2 25 0
200 1 12 0
300 2 0 21
200 1 32 0
200 2 18 0
200 1 11 0
200 2 0 0
200 1 8 0
200 2 34 5
300 1 31 11
200 2 29 0
300 1 32 7
300 2 35 0
200 1 12 10
200 2 21 0
200 1 1 0
200 2 18 9
200 1 7 0
200 2 10 0
200 1 20 0
200 2 24 0
200 1 24 0
300 2 7 12
200 1 9 0
200 2 0 0
200 1 28 6
200 2 37 0
400 2 68 72
200 1 12 0
200 2 9 0
300 1 36 0
200 2 26 6
200 1 33 0
200 2 23 0
200 1 2 0
400 2 71 75
200 2 19 0
200 1 24 0
200 2 17 0
200 1 20 0
200 2 37 0
200 1 16 0
200 2 26 0
200 1 11 5
200 2 22 0
300 1 12 0
300 2 33 6
200 1 17 0
200 2 15 0
200 1 3 0
400 2 79 92
200 2 15 0
200 1 10 0
200 2 30 0
200 1 25 0
400 2 85 98
200 2 11 0
200 1 32 0
200 2 19 0
200 1 29 0
200 2 5 6
200 1 5 0
200 2 21 7
200 1 2 0
400 2 86 97
200 2 10 0
200 1 17 5
200 2 19 0
200 1 37 0
200 2 31 0
400 2 87 106
300 1 30 0
200 2 25 0
200 1 34 0
200 2 10 0
300 1 8 0
200 2 20 0
200 1 35 0
200 2 17 21
200 1 25 0
300 2 33 0
200 1 20 0
400 2 94 97
200 2 28 5
200 1 7 0
200 2 9 0
300 1 31 29
200 2 3 0
200 1 36 0
300 2 16 0
200 1 10 0
200 2 34 0
200 1 19 0
300 2 38 0
300 1 36 0
200 2 0 5
200 1 14 0
200 2 6 0
200 1 2 0
200 2 6 0
200 1 14 5
200 2 5 0
200 1 25 0
200 2 21 0
200 1 0 5
200 2 7 6
200 1 25 0
200 2 1 0
200 1 17 0
200 2 4 0
300 1 32 0
200 2 11 0
200 1 23 0
200 2 19 0
200 1 22 0
200 2 17 0
200 1 29 0
200 2 21 0
200 1 18 0
200 2 4 0
300 1 5 0
200 2 20 0
300 1 9 36
200 2 31 0
200 1 32 0
200 2 9 5
200 1 34 0
200 2 11 0
200 1 35 0
200 2 31 0
200 1 35 5
400 2 104 109
200 2 22 0
200 1 9 0
200 2 9 0
200 1 32 0
200 2 2 0
400 2 110 118
200 1 26 0
200 2 14 12
200 1 32 0
200 2 1 0
200 1 20 0
400 2 109 112
200 2 6 14
200 1 24 10
200 2 26 0
200 1 13 0
200 2 23 6
200 1 12 0
200 2 0 0
200 1 0 0
400 2 106 104
200 2 35 5
200 1 8 0
200 2 14 0
200 1 37 0
200 2 27 6
200 1 7 5
200 2 34 0
200 1 31 0
200 2 34 0
200 1 37 15
400 2 101 97
200 2 11 0
200 1 16 0
200 2 4 0
200 1 17 0
200 2 28 0
200 1 0 0
200 2 23 0
400 2 110 109
200 1 1 0
200 2 34 0
200 1 14 0
200 2 33 0
300 1 33 14
200 2 26 5
200 1 25 0
200 2 14 0
200 1 13 0
400 2 109 105
200 2 31 5
200 1 13 26
200 2 9 0
300 1 36 0
300 2 21 0
300 1 14 0
200 2 25 0
400 1 86 99
200 1 25 0
400 1 89 99
200 2 7 5
200 1 5 5
200 2 20 0
300 1 39 13
200 2 9 0
200 1 4 0
200 2 3 0
200 1 33 0
300 2 1 0
200 1 30 0
200 2 9 0
200 1 34 0
200 2 28 0
300 1 36 0
200 2 6 0
200 1 30 0
300 2 30 0
200 1 0 0
200 2 10 9
400 1 97 104
200 1 10 6
200 2 27 0
300 1 24 0
200 2 12 0
200 1 2 10
200 2 30 11
200 1 24 0
200 2 34 0
300 1 35 12
200 2 0 5
200 1 23 5
200 2 9 0
200 1 37 6
200 2 34 0
300 1 19 0
200 2 24 5
200 1 23 0
300 2 18 0
200 1 31 6
200 2 13 0
200 1 37 0
300 2 31 0
300 1 29 5
300 2 8 0
200 1 3 0
200 2 32 5
300 1 29 0
200 2 10 6
200 1 23 0
200 2 8 0
200 1 6 21
200 2 2 0
200 1 17 0
400 1 62 75
200 2 36 0
200 1 2 0
200 2 1 0
200 1 25 0
200 2 8 0
300 1 37 0
200 2 29 6
200 1 22 0
200 2 1 0
200 1 29 0
200 2 34 5
200 1 13 0
200 2 5 0
200 1 25 0
200 2 28 0
200 1 6 0
200 2 24 0
200 1 17 0
200 2 31 6
300 1 38 0
200 2 0 0
200 1 20 0
200 2 8 10
200 1 21 10
300 2 14 0
200 1 13 0
200 2 26 0
200 1 15 0
200 2 15 0
200 1 2 0
300 2 1 9
200 1 2 5
200 2 20 0
200 1 0 0
200 2 37 0
200 1 3 0
300 2 30 10
200 1 23 0
200 2 33 0
200 1 1 0
300 2 18 0
200 1 22 13
200 2 25 0
300 1 5 0
200 2 0 0
200 1 36 0
200 2 3 0
200 1 12 9
200 2 5 0
400 1 77 83
200 1 35 0
200 2 11 0
300 1 1 10
200 2 6 19
400 1 65 65
200 1 23 5
200 2 35 5
300 1 15 0
200 2 6 0
200 1 29 0
200 2 1 0
200 1 11 0
200 2 1 0
400 1 69 72
200 1 26 0
200 2 13 0
200 1 19 0
200 2 37 0
200 1 27 0
200 2 25 0
200 1 19 0
200 2 28 0
200 1 34 0
400 1 84 84
200 2 11 0
300 1 24 0
200 2 13 0
200 1 0 0
200 2 13 0
200 1 23 0
200 2 19 0
200 1 20 5
300 2 34 0
200 1 0 0
200 2 7 5
200 1 21 0
200 2 15 5
200 1 4 0
300 2 19 27
200 1 20 0
200 2 6 5
200 1 33 5
200 2 11 5
200 1 30 0
200 2 24 5
400 2 79 64
300 1 28 0
200 2 32 0
400 2 79 67
400 2 79 67
200 1 2 7
200 2 23 0
400 1 75 65
200 1 34 0
200 2 31 0
200 1 24 0
200 2 6 5
200 1 5 0
200 2 30 5
200 1 9 8
200 2 24 0
200 1 29 0
400 1 82 67
300 2 25 0
400 1 82 67
200 1 1 0
200 2 8 0
400 1 85 70
300 1 4 7
300 2 20 0
200 1 25 0
400 1 86 65
200 2 29 0
200 1 23 0
400 1 89 68
400 1 89 68
200 2 18 5
200 1 3 7
200 2 34 0
200 1 33 5
200 2 3 0
300 1 36 9
200 2 18 0
400 1 72 72
200 1 14 0
300 2 21 13
200 1 20 0
200 2 26 0
200 1 3 0
200 2 25 0
200 1 12 0
300 2 26 0
200 1 7 0
200 2 12 0
200 1 30 0
200 2 9 0
300 1 12 15
200 2 5 0
200 1 22 0
200 2 7 0
200 1 5 0
200 2 24 5
200 1 15 0
400 1 79 75
200 2 23 0
400 1 79 78
300 1 16 0
200 2 4 0
200 1 4 0
200 2 1 0
200 1 25 0
200 2 36 0
200 1 11 0
200 2 12 0
200 1 15 5
200 2 21 0
200 1 9 0
200 2 31 0
200 1 15 0
200 2 1 0
200 1 13 0
200 2 3 0
200 1 22 6
200 2 10 0
200 1 23 0
200 2 1 5
400 1 95 103
200 1 8 0
200 2 28 0
200 1 30 0
200 2 31 0
200 1 17 0
300 2 34 27
300 1 13 21
200 2 32 0
200 1 20 0
200 2 30 0
200 1 10 0
200 2 13 0
200 1 34 0
200 2 30 0
200 1 12 0
200 2 30 5
200 1 9 11
200 2 16 0
200 1 14 0
200 2 10 0
200 1 25 0
200 2 11 28
200 1 37 0
400 0 74 67
200 2 15 0
200 1 14 0
200 2 4 0
300 1 22 0
200 2 20 0
200 1 29 0
200 2 20 0
200 1 22 0
200 2 37 0
200 1 35 0
200 2 16 11
200 1 15 0
400 2 83 74
400 2 83 74
200 2 35 0
200 1 18 5
200 2 7 0
200 1 22 0
200 2 14 0
200 1 14 0
200 2 27 0
200 1 6 0
200 2 1 5
200 1 11 0
200 2 18 0
200 1 10 0
200 2 18 0
200 1 20 0
200 2 19 0
200 1 11 0
200 2 6 0
200 1 14 10
200 2 22 0
200 1 2 0
200 2 35 0
200 1 30 0
200 2 4 0
200 1 31 0
200 2 31 0
200 1 17 0
300 2 27 0
200 1 33 6
200 2 20 0
200 1 2 0
200 2 37 0
200 1 28 11
200 2 14 0
200 1 15 0
200 2 17 14
200 1 32 0
300 2 17 0
200 1 12 0
400 1 102 96
200 2 21 0
200 1 2 0
200 2 2 0
200 1 5 5
200 2 27 0
200 1 3 0
200 2 10 0
400 1 106 108
200 1 20 0
200 2 3 0
200 1 29 0
200 2 22 0
200 1 4 5
300 2 37 0
200 1 33 6
400 1 107 114
200 2 34 5
200 1 13 5
200 2 35 5
200 1 14 0
200 2 23 0
200 1 15 0
200 2 26 5
400 1 111 111
200 1 22 0
400 1 114 111
200 2 16 0
200 1 35 0
300 2 27 0
400 1 117 114
200 1 15 5
200 2 16 0
200 1 15 0
200 2 26 5
200 1 2 0
200 2 30 0
200 1 3 0
200 2 8 17
400 2 119 104
200 1 11 0
300 2 36 0
200 1 31 6
200 2 29 0
200 1 12 0
200 2 7 0
200 1 29 0
400 2 125 110
200 2 33 5
200 1 17 0
200 2 29 0
200 1 9 5
300 2 26 0
200 1 15 0
200 2 36 0
300 1 24 26
200 2 23 0
300 1 11 0
200 2 22 0
300 1 11 0
400 1 111 107
200 2 3 0
200 1 18 0
400 1 114 110
200 2 4 0
400 1 114 113
300 1 35 16
200 2 15 0
200 1 12 5
200 2 28 0
400 1 103 112
200 1 35 0
400 1 106 112
200 2 2 0
200 1 35 0
200 2 29 0
200 1 35 0
200 2 22 0
200 1 13 0
200 2 32 0
200 1 18 0
200 2 36 0
300 1 30 5
300 2 13 0
200 1 22 0
200 2 5 0
200 1 36 0
200 2 8 0
200 1 15 0
300 2 15 40
300 1 32 0
200 2 3 0
200 1 15 0
200 2 16 0
200 1 17 0
200 2 35 0
300 1 34 6
200 2 34 0
200 1 33 0
200 2 22 0
200 1 11 0
200 2 3 10
300 1 9 0
200 2 33 0
300 1 22 0
200 2 17 0
200 1 16 0
200 2 15 0
200 1 22 0
300 2 22 6
200 1 26 0
300 2 24 0
200 1 31 0
200 2 22 0
200 1 6 0
200 2 10 0
200 1 30 5
200 2 11 0
200 1 17 0
200 2 29 0
200 1 32 0
200 2 24 6
200 1 0 0
300 2 12 0
200 1 3 5
400 1 121 130
200 2 31 0
300 1 27 5
300 2 9 6
200 1 29 0
300 2 27 7
200 1 23 0
300 2 27 0
200 1 4 0
300 2 23 0
200 1 31 5
300 2 0 18
200 1 17 0
200 2 3 0
200 1 18 0
200 2 35 0
200 1 37 0
200 2 11 0
400 2 107 116
200 1 35 0
200 2 37 0
200 1 10 0
200 2 13 0
400 2 113 122
300 1 27 0
200 2 13 0
200 1 2 0
400 2 117 124
300 2 35 12
400 2 115 114
200 1 9 0
400 2 118 114
200 2 2 0
200 1 8 0
300 2 37 0
200 1 7 0
400 2 124 117
200 2 33 0
200 1 31 0
300 2 2 0
200 1 29 0
200 2 22 0
200 1 12 0
200 2 18 0
300 1 28 0
200 2 20 0
200 1 22 0
200 2 13 7
300 1 31 0
200 2 36 0
200 1 24 0
200 2 8 0
200 1 33 0
200 2 33 5
200 1 20 24
200 2 37 0
200 1 14 0
200 2 37 0
200 1 21 0
400 2 122 130
400 2 122 130
200 2 25 0
200 1 5 5
200 2 12 0
200 1 31 5
200 2 5 0
200 1 3 0
200 2 34 0
300 1 37 0
200 2 18 0
200 1 0 0
200 2 33 8
200 1 19 0
200 2 33 0
200 1 31 0
200 2 17 0
200 1 8 0
400 2 125 140
200 2 2 0
300 1 3 0
400 2 125 143
200 2 4 0
200 1 29 0
200 2 35 10
200 1 1 0
200 2 4 5
200 1 5 0
200 2 30 5
200 1 13 0
200 2 0 0
400 2 137 138
200 1 13 0
400 2 140 138
400 2 140 138
200 2 11 0
200 1 29 0
200 2 37 5
200 1 15 0
300 2 0 0
200 1 22 0
200 2 18 0
200 1 1 0
200 2 1 0
300 1 37 0
200 2 19 26
200 1 17 0
400 2 137 122
